Record ID,Date,Time,First Response Time (seconds),Call Handle Time (minutes),First Call Resolution (FCR) (Yes/No),Quality of Recent Support (Rating),Average Wait Time (seconds),Customer Satisfaction & Recommendations (Rating),Agent ID/Name,Customer Retention (Yes/No),Fully Burdened Cost per call,Revenue per Call ($),Customer ID,Customer Inquiry Topic,Product Discussed,Customer Revenue ($)
1,10/30/2023,14:19:56,79,44.98,No,2,171,4,Agent 2,Yes,131.4,338.95,Cust6602,Return & Refund,Smartphone,8440.78
2,11/3/2023,16:46:56,119,31.38,No,5,169,1,Agent 50,Yes,136.96,203.26,Cust2362,Product Feedback,Speaker,3239.86
3,10/29/2023,22:27:56,87,24.61,No,3,166,2,Agent 48,No,82.38,244.08,Cust7801,Warranty Claim,Tablet,319.41
4,11/13/2023,18:38:56,13,29.27,Yes,4,147,5,Agent 16,No,147.35,316.5,Cust2790,Data Security,Speaker,8677.27
5,10/23/2023,16:21:56,111,48.49,No,2,212,3,Agent 19,No,86.62,289.17,Cust2433,Warranty Claim,Printer,1304
6,10/30/2023,19:15:56,88,4.23,No,5,232,5,Agent 39,Yes,197.39,225.39,Cust7689,Warranty Claim,Speaker,9887.85
7,11/2/2023,12:28:56,56,27.45,No,1,291,1,Agent 37,Yes,22.26,388.83,Cust3552,Data Security,Tablet,8316.47
8,10/17/2023,13:07:56,41,9.1,Yes,2,16,2,Agent 6,No,199.66,46.1,Cust6843,Data Security,Printer,9129.79
9,10/26/2023,4:15:56,118,4.36,No,5,97,3,Agent 42,No,157.46,383.34,Cust1118,Warranty Claim,Headphones,9458.31
10,11/9/2023,3:24:56,51,53.11,Yes,1,214,4,Agent 43,No,177.79,330.69,Cust9264,Product Feedback,Charger,1778.38
11,11/2/2023,6:28:56,93,18.59,Yes,3,222,1,Agent 2,No,110.4,69.22,Cust1374,Promotions & Offers,Speaker,6833.42
12,10/17/2023,4:45:56,62,19.47,Yes,4,38,1,Agent 17,No,128.52,317.77,Cust8318,Shipping Status,Speaker,8817.41
13,11/13/2023,9:47:56,49,2.79,Yes,4,47,4,Agent 20,Yes,35.6,417.29,Cust9741,Return & Refund,Smartwatch,6932.88
14,11/8/2023,10:55:56,55,53.49,Yes,3,58,4,Agent 3,Yes,155.24,264.78,Cust5885,Account Management,Camera,185.92
15,10/31/2023,12:28:56,89,41.43,No,2,120,1,Agent 35,No,181.2,329.32,Cust7864,Product Feedback,Speaker,9970.07
16,10/27/2023,7:44:56,8,42.56,Yes,3,92,2,Agent 11,Yes,47.44,26.73,Cust5222,Product Feedback,Speaker,2902.61
17,11/11/2023,2:58:56,73,49.73,No,2,168,3,Agent 6,No,53.37,72.91,Cust9662,Product Setup,Smartwatch,4921.66
18,10/24/2023,7:59:56,58,10.53,No,4,246,5,Agent 27,No,45.77,454.21,Cust8495,Product Feedback,Laptop,2747.41
19,11/15/2023,3:41:56,118,31.36,No,4,133,2,Agent 6,No,168.41,181.05,Cust4539,Return & Refund,Camera,8419.32
20,11/5/2023,21:00:56,86,51.15,No,3,145,3,Agent 14,No,136.89,242.51,Cust2124,Data Security,Smartphone,2690.7
21,11/13/2023,3:42:56,86,1.36,No,3,221,4,Agent 46,No,66.63,335.92,Cust7282,Billing Inquiry,Headphones,2167.97
22,10/29/2023,16:38:56,94,25.97,No,1,184,5,Agent 38,No,187.34,289.15,Cust5040,Promotions & Offers,Printer,9109.88
23,10/30/2023,23:55:56,29,7.26,No,3,187,3,Agent 43,No,169.73,271.25,Cust5637,Product Setup,Speaker,8011.32
24,10/17/2023,4:11:56,33,37.8,Yes,1,119,3,Agent 14,Yes,104.31,379.78,Cust3326,Return & Refund,Laptop,7658.76
25,11/4/2023,15:56:56,9,2.13,No,5,222,3,Agent 34,Yes,10.33,320.44,Cust6465,Product Setup,Charger,2455.03
26,10/22/2023,3:51:56,14,13.1,No,2,71,4,Agent 17,No,167.96,334.74,Cust7272,Technical Support,Smartphone,5565.3
27,10/21/2023,8:34:56,103,16.49,Yes,4,273,2,Agent 30,Yes,192.41,114.11,Cust2753,Shipping Status,Smartphone,1616.74
28,11/9/2023,21:05:56,59,10.09,No,4,158,4,Agent 19,No,98.94,361.2,Cust4427,Technical Support,Tablet,8362.03
29,11/6/2023,6:50:56,88,39.74,Yes,1,237,1,Agent 41,No,99.39,324.48,Cust4577,Technical Support,Smartphone,4400.24
30,11/12/2023,7:12:56,46,52.48,No,4,17,1,Agent 15,No,139.46,260.24,Cust1113,Promotions & Offers,Tablet,6155.76
31,11/12/2023,17:57:56,20,30.82,No,5,144,4,Agent 38,Yes,164.62,352.12,Cust1665,Account Management,Smartphone,7954.15
32,10/18/2023,10:43:56,34,56.49,No,2,19,3,Agent 34,Yes,122.25,479.1,Cust8035,Promotions & Offers,Charger,112.07
33,11/11/2023,0:31:56,80,11.5,No,3,62,3,Agent 20,Yes,155.65,170.14,Cust6203,Product Feedback,Charger,5507.69
34,10/16/2023,17:04:56,28,20.9,No,3,113,3,Agent 20,Yes,115.77,428.09,Cust5452,Shipping Status,Smartphone,9591.37
35,11/2/2023,22:28:56,114,44.22,No,1,169,2,Agent 30,No,113.07,142.67,Cust1381,Billing Inquiry,Laptop,1689.43
36,11/1/2023,10:09:56,35,34.23,No,1,169,4,Agent 1,Yes,83.55,493.2,Cust7937,Data Security,Smartphone,6212.04
37,10/28/2023,13:46:56,60,4.96,Yes,5,164,4,Agent 17,No,57.11,375.12,Cust8409,Product Feedback,Printer,597.39
38,10/22/2023,5:56:56,67,44.15,No,4,123,5,Agent 47,No,21.81,306.76,Cust2016,Account Management,Tablet,4182.81
39,10/20/2023,6:22:56,70,6.38,Yes,4,273,4,Agent 32,Yes,99.39,261.9,Cust7176,Product Setup,Camera,9075.96
40,11/14/2023,14:45:56,69,7.95,No,1,239,2,Agent 47,Yes,51.92,239.86,Cust4443,Account Management,Speaker,5367.45
41,10/20/2023,19:50:56,15,17.17,No,1,26,4,Agent 47,Yes,119.05,319.67,Cust1774,Warranty Claim,Printer,3889.3
